0,1,2,3,4,5
(0.31124347587395457+0j),(0.7805112755808978+0j),(-10.141841739553213+0j),(-0.060044750862374374+0.022979347729648714j),(0.02358480048888545+0.18573079883487542j),(-0.14929357781401542-0.20273167405924752j)
(0.33519130116179585+0j),(0.7661445312499999+0j),(-10.165779079979657+0j),(0.09026218077989459-0.12762242533597584j),(-0.07052708541604169+0.027361244033439425j),(-0.19876964961714982-0.06422865743757633j)
(0.2968767132767476+0j),(0.7996636467531323+0j),(-10.21366545127034+0j),(0.053663954315769535+0.08311178397222291j),(0.03987588630155642-0.04535571200555788j),(0.0038347174407036277-0.047651889075737586j)
(0.34955804549269376+0j),(0.7661445312499999+0j),(-10.141841739553213+0j),(0.028824148257001164-0.2713532330063891j),(-0.09422532144151702+0.08321316966407366j),(0.1433448640981032-0.1086133005627179j)
(0.3160388934569433+0j),(0.7900825292635708+0j),(-10.194513007032871+0j),(0.06918154796651871+0.12564047214177965j),(0.023761557375217623-0.31344250282853214j),(-0.07000828470531761-0.11316134447616655j)
(0.33519130116179585+0j),(0.7326254157468676+0j),(-10.1753605627954+0j),(0.13651643933133067-0.020681363707827194j),(0.2105369736534463-0.11011118962809607j),(-0.22932611469977715-0.11595153292002092j)
(0.3064578125+0j),(0.7469921600777656+0j),(-10.146626635742187+0j),(0.011082918066270597-0.06910932155353322j),(0.11381299792189481-0.038211011396093064j),(-0.0013284946077325444-0.12334703769752409j)
(0.3064578125+0j),(0.7805112755808978+0j),(-10.146626635742187+0j),(-0.13586307627740282+0.03937067761069904j),(0.08007157985843094+0.0431402168785906j),(0.3700174238899905-0.15097312494503345j)
(0.3016721673923544+0j),(0.7996636467531323+0j),(-10.15141270097494+0j),(-0.029535139531405075-0.05291009851991965j),(0.14954145836938026+0.22655412884030446j),(0.27106375902293856-0.11790819046701895j)
(0.2873054230614565+0j),(0.7757256487395614+0j),(-10.146626635742187+0j),(-0.16694737797747133-0.11084862017535244j),(0.21087438280555676+0.08316601868239903j),(0.12707223366107812+0.06778891652101571j)
(0.3208245568308979+0j),(0.7805112755808978+0j),(-10.127474191504716+0j),(0.046577772456887656-0.01193689763557318j),(0.11889431993058597-0.04628732083358933j),(-0.13045590361003967-0.0781313139863622j)
(0.31124347587395457+0j),(0.7613589044086635+0j),(-10.146626635742187+0j),(0.05889089482938609-0.0093022138804639j),(-0.03347005915922441-0.01632465072471251j),(-0.17191482021407012-0.014037836306725282j)
(0.2968767132767476+0j),(0.7565634137604386+0j),(-10.189717589449883+0j),(0.2319901627040744+0.025179761392029584j),(0.0012813238807032334+0.04426485882410591j),(-0.17493696144813065-0.08902161987222179j)
(0.3256101836722344+0j),(0.7326254157468676+0j),(-10.199297903221845+0j),(-0.12793549186144448+0.09572496474072695j),(0.0392374651702454-0.08216458763891843j),(0.40494153378494957+0.1660019332843765j)
(0.2873054230614565+0j),(0.7469921600777656+0j),(-10.137046321970224+0j),(0.014984210787475083-0.06596665928119985j),(-0.1507368155967963+0.12393551753278581j),(-0.21124169673601578-0.1149594329782544j)
(0.3064578125+0j),(0.7565634137604386+0j),(-10.146626635742187+0j),(-0.03562136703067331+0.010342485539505342j),(-0.05059299602997491+0.058597861873544765j),(-0.07746035551261521-0.4569531450588722j)
(0.3208245568308979+0j),(0.7613589044086635+0j),(-10.141841739553213+0j),(-0.09379245479021736-0.07901646154976144j),(0.003170594450472186-0.13972214362766683j),(0.23024019581393418+0.15122523451843706j)
(0.3208245568308979+0j),(0.7709301580913365+0j),(-10.15141270097494+0j),(0.10653576910523371-0.2636982274843027j),(-0.2186380967741175-0.3313089249956821j),(0.07472532368092466-0.2077421144024254j)
